country,latitude,longitude
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Aljazair,28.033886,1.659626
Andorra,42.546245,1.601554
Angola,-11.202692,17.873887
Antigua dan Barbuda,17.060816,-61.796428
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bahama,25.03428,-77.39628
Bahrain,25.930414,50.637772
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belanda,52.132633,5.291266
Belarus,53.709807,27.953389
Belgia,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.30769,2.315834
Bhutan,27.514162,90.433601
Bolivia,-16.290154,-63.588653
Bosnia dan Herzegovina,43.915886,17.679076
Botswana,-22.328474,24.684866
Brasil,-14.235004,-51.92528
Brunei,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Denmark,56.26392,9.501785
Djibouti,11.825138,42.590275
Dominika,15.414999,-61.370976
Ekuador,-1.831239,-78.183406
El Salvador,13.794185,-88.89653
Estonia,58.595272,25.013607
Eswatini,-26.522503,31.465866
Ethiopia,9.145,40.489673
Fiji,-17.713371,178.065032
Filipina,12.879721,121.774017
Finlandia,61.92411,25.748151
Gabon,-0.803689,11.609444
Gambia,13.443182,-15.310139
Georgia,42.315407,43.356892
Ghana,7.946527,-1.023194
Granada,12.262776,-61.604171
Guatemala,15.783471,-90.230759
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Guinea Khatulistiwa,1.650801,10.267895
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Hong Kong,22.396428,114.109497
Hungaria,47.162494,19.503304
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Inggris Raya,55.378051,-3.435973
Irak,33.223191,43.679291
Iran,32.427908,53.688046
Irlandia,53.41291,-8.24389
Islandia,64.963051,-19.020835
Israel,31.046051,34.851612
Italia,41.87194,12.56738
Jamaika,18.109581,-77.297508
Jepang,36.204824,138.252924
Jerman,51.165691,10.451526
Yordania,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kiribati,-3.370417,-168.734039
Korea Selatan,35.907757,127.766922
Korea Utara,40.339852,127.510093
Kosovo,42.602636,20.902977
Kroasia,45.1,15.2
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Laos,19.85627,102.495496
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Lesotho,-29.609988,28.233608
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Liechtenstein,47.166,9.555373
Lituania,55.169438,23.881275
Luksemburg,49.815273,6.129583
Madagaskar,-18.766947,46.869107
Makedonia Utara,41.608635,21.745275
Maladewa,3.202778,73.22068
